chr7	99371966	99382797
chr7	99823601	99826200
chr7	99953202	99954599
chr7	100002753	100005441
chr7	100040401	100042519
chr7	100085573	100092151
chr7	100098023	100103835
chr7	100124367	100129401
chr7	100153137	100159601
chr7	100170800	100172201
chr7	100210419	100212395
chr7	100215038	100224203
chr7	100236621	100239054
chr7	100244827	100249158
chr7	100263919	100267599
chr7	100294602	100296600
chr7	100308201	100310400
chr7	100334400	100338847
chr7	100341066	100341637
chr7	100342080	100343251
chr7	100343537	100346526
chr7	100351274	100354408
chr7	100355601	100356000
chr7	100356201	100360999
chr7	100364737	100371401
chr7	100371657	100375601
chr7	100376400	100377001
chr7	100377733	100381011
chr7	100382423	100384396
chr7	100384430	100385676
chr7	100390077	100391229
chr7	100395741	100398914
chr7	100400562	100401258
chr7	100406735	100408022
chr7	100412602	100414199
chr7	100427401	100438584
chr7	100438837	100447200
chr7	100449989	100451467
chr7	100449259	100449887
chr7	100453601	100456946
chr7	100462844	100464800
chr7	100465576	100467801
chr7	100468918	100469877
chr7	100471699	100473531
chr7	100473698	100474817
chr7	100475549	100480001
chr7	100482600	100487177
chr7	100488978	100491235
chr7	100502106	100505091
chr7	100506600	100506801
chr7	100508930	100509880
chr7	100510001	100510200
chr7	100513602	100518200
chr7	100521601	100523599
chr7	100538200	100550932
chr7	100562621	100564600
chr7	100599778	100606201
chr7	100893780	100898693
